,title,company,expirence,salary,location,skill,date
3442,Part Time Academic Writer For Econometric/Data Science/Statistics,Paperpedia private limited,0-5 Yrs,Not disclosed,"Chennai, Delhi NCR(Sector-16 Noida), Bengaluru, Hyderabad, Noida, Kolkata","['STATA', 'SPSS', 'Econometrics', 'Big Data Analytics', 'Eviews', 'Research', 'Statistics', 'Data Science']",14 DAYS AGO
3443,"Specialist, Data Science",Invesco (India) Pvt Ltd,3-8 Yrs,Not disclosed,Hyderabad,"['Data Science', 'R', 'Power Bi', 'Analytical Skills', 'Data Analysis', 'Advanced Excel', 'Third Party', 'Powerpoint']",2 DAYS AGO
3444,"Trainee - Data Science, Artificial Intelligence & Data Analytics",MagicBase Royal BD Pvt Ltd,0-2 Yrs,"80,000 - 1,25,000 PA.",Bengaluru(Whitefield),"['IT Skills', 'Python', 'Data Science', 'Machine Learning', 'Data Science', 'Artificial Intelligence', 'Data Analytics']",
3445,Senior Analyst- Data Science,Accenture Solutions Pvt Ltd,5-8 Yrs,Not disclosed,Bengaluru,"['IT Skills', 'Data Science', 'Machine Learning', 'Artificial Intelligence', 'Project Management', 'BPO', 'project management', 'Analyst- Data Science']",
3446,"Senior Analyst, Data Science",Varite,3-6 Yrs,Not disclosed,Bengaluru,"['IT Skills', 'Power BI', 'Azure', 'Analyst', 'Excel', 'data science', 'Agile', 'power bi']",4 DAYS AGO
3447,Artificial Intelligence/Machine learning/Data Science,Spectrum Consultants India Pvt Ltd.,8-13 Yrs,Not disclosed,Bengaluru,"['Computer science', 'Electrical engineering', 'deep learning', 'Literature', 'data science', 'Artificial Intelligence', 'Machine learning', 'Silicon']",11 DAYS AGO
3448,Senior Software Developer - NLP / Machine Learning /Data Science,Cunesoft,5-8 Yrs,Not disclosed,Bengaluru,"['IT Skills', 'Java', 'Python', 'Cloud', 'Project Management', 'Product Management', 'Azure', 'BPO']",12 DAYS AGO
3449,Software Developer - NLP/ Data Science/ Machine Learning,Cunesoft,3-8 Yrs,Not disclosed,Bengaluru,"['IT Skills', 'Java', 'Python', 'Cloud', 'Project Management', 'Product Management', 'Azure', 'BPO']",12 DAYS AGO
3450,"Internship in Data Science, AI and Machine Learning - Online",www.iibmindia.in,0-5 Yrs,Not disclosed,"Mumbai, Bengaluru, Hyderabad","['IT Skills', 'Data Science', 'Data Science', 'fresher', 'any graduate', 'Online', 'Internship', 'work from home']",6 DAYS AGO
3451,Part Time Academic Writer For Econometric/Data Science/Statistics,Paperpedia private limited,0-5 Yrs,Not disclosed,"Chennai, Delhi NCR(Sector-16 Noida), Bengaluru, Hyderabad, Noida, Kolkata","['STATA', 'SPSS', 'Econometrics', 'Big Data Analytics', 'Eviews', 'Research', 'Statistics', 'Data Science']",8 DAYS AGO
